,Jornada,Centros de Formación Técnica,Institutos Profesionales,Universidades
0,Diurno,82410,186121,566961
1,Vespertino,52618,157446,84908
2,Semipresencial,390,5308,1819
3,A Distancia,1049,25605,1774
4,Otro,310,230,9778
5,Total general,136777,374710,665240
