,Rango de edad,Centros de Formación Técnica,Institutos Profesionales,Universidades
0,15 a 19 años,29643.0,51604.0,127523.0
1,20 a 24 años,66594.0,168841.0,350581.0
2,25 a 29 años,25724.0,77221.0,106899.0
3,30 a 34 años,11774.0,37543.0,31009.0
4,35 a 39 años,6158.0,18885.0,14743.0
5,40 y más años,6612.0,19077.0,15154.0
6,Sin información,10.0,,59.0
7,Total general,146515.0,373171.0,645968.0
8,Promedio de edad,24.4014265724719,25.2963440353082,23.2976704148727
