,Sexo,Centros de Formación Técnica,Institutos Profesionales,Universidades
0,Matrícula Total de Pregrado Mujer,73796,190314,368549
1,Matrícula Total de Pregrado Hombre,64144,189142,308366
2,Matrícula Total Pregrado,137940,379456,676915
