,Tipo de institución,Pregrado,Posgrado,Postítulo
0,Centros de Formación Técnica,136773,,11
1,Institutos Profesionales,373669,,1793
2,Universidades,677981,46820.0,25724
3,Total general,1188423,46820.0,27528
