,Jornada,Centros de Formación Técnica,Institutos Profesionales,Universidades
0,Diurno,84318,185392,551338
1,Vespertino,60445,165442,88859
2,Semipresencial,316,4476,1432
3,A Distancia,1181,17198,1992
4,Otro,255,663,2347
5,Total general,146515,373171,645968
