,Región,Centros de Formación Técnica,Institutos Profesionales,Universidades
0,Arica y Parinacota,2147,380,2265
1,Tarapacá,1627,1148,2942
2,Antofagasta,2437,3861,4870
3,Atacama,1022,984,2198
4,Coquimbo,4212,3671,5034
5,Valparaíso,5439,11864,17102
6,Metropolitana,18564,68097,68491
7,Lib. Gral. B. O'Higgins,2164,5316,1742
8,Maule,6124,3375,6321
9,Ñuble,1947,1820,3141
10,Biobío,5666,11626,17060
11,Araucanía,3456,3546,7938
12,Los Ríos,1586,1495,3739
13,Los Lagos,3118,4160,5368
14,Aysén,544,187,348
15,Magallanes,874,364,1197
16,Total general,60927,121894,149756
