,Región,Matrícula Mujeres,Matrícula Hombres
0,Arica y Parinacota,9051,7399
1,Tarapacá,9369,8222
2,Antofagasta,20405,20387
3,Atacama,6518,6036
4,Coquimbo,23634,20137
5,Valparaíso,69684,65453
6,Metropolitana,307317,290714
7,Lib. Gral. B. O'Higgins,15682,13275
8,Maule,31153,24423
9,Biobío,85065,74445
10,La Araucanía,35094,26164
11,Los Ríos,12794,11547
12,Los Lagos,25020,18136
13,Aysén,1613,1007
14,Magallanes,4401,3601
15,Total general,656800,590946
