,Rango de edad,Doctorado,Magíster
0,15 a 19 años,,
1,20 a 24 años,108.0,3344.0
2,25 a 29 años,1794.0,12194.0
3,30 a 34 años,1874.0,10642.0
4,35 a 39 años,822.0,6625.0
5,40 y más años,946.0,9228.0
6,Sin información,1.0,6.0
7,Total general,5545.0,42039.0
8,Promedio de edad,33.8250898103871,33.461038961039
