,Área,Centros de Formación Técnica,Institutos Profesionales,Universidades
0,Administración y Comercio,37830.0,87449.0,83268
1,Agropecuaria,3810.0,4354.0,17823
2,Arte y Arquitectura,2037.0,22826.0,27443
3,Ciencias Básicas,1351.0,815.0,14362
4,Ciencias Sociales,2679.0,39572.0,73151
5,Derecho,1352.0,1484.0,37490
6,Educación,13649.0,25727.0,81597
7,Humanidades,66.0,1628.0,8018
8,Salud,29594.0,42643.0,150819
9,Tecnología,54147.0,146673.0,151443
10,Sin área definida,,,554
11,Total general,146515.0,373171.0,645968
