,Región,Doctorado,Magíster
0,XV Región,14.0,1081.0
1,I Región,,396.0
2,II Región,95.0,556.0
3,III Región,,27.0
4,IV Región,26.0,484.0
5,V Región,518.0,3248.0
6,Región Metropolitana,3209.0,27601.0
7,VI Región,,251.0
8,VII Región,111.0,1668.0
9,VIII Región,626.0,4202.0
10,IX Región,118.0,1563.0
11,XIV Región,196.0,533.0
12,X Región,12.0,259.0
13,XI Región,,
14,XII Región,,12.0
15,Total general,4925.0,41881.0
