,Rango de edad,Doctorado,Magíster
0,15 a 19 años,,
1,20 a 24 años,122,2368
2,25 a 29 años,1811,11224
3,30 a 34 años,1929,10567
4,35 a 39 años,1037,7001
5,40 y más años,980,9366
6,Sin información,51,364
7,Total general,=SUM(B33:B38),=SUM(C33:C38)
8,Promedio de edad,33.7045415887056,34.3483442728125
