,Área,Matrícula Mujeres,Matrícula Hombres
0,Administración y Comercio,131395,111747
1,Agropecuaria,14386,13892
2,Arte y Arquitectura,29661,24979
3,Ciencias Básicas,10075,12183
4,Ciencias Sociales,77463,36952
5,Derecho,24730,21066
6,Educación,113531,40199
7,Humanidades,6896,4672
8,Salud,178013,59175
9,Tecnología,69807,265491
10,Sin área definida,843,590
11,Total general,656800,590946
