,Región,Matrícula Total Mujeres,Matrícula Total Hombres
0,Arica y Parinacota,9587,7564
1,Tarapacá,10035,8583
2,Antofagasta,20180,20057
3,Atacama,6751,5970
4,Coquimbo,24075,19943
5,Valparaíso,67468,62892
6,Metropolitana,286713,268848
7,Lib. Gral. B. O'Higgins,15745,13082
8,Maule,30923,24039
9,Biobío,80635,69566
10,Araucanía,32667,24886
11,Los Ríos,13317,11617
12,Los Lagos,24663,17880
13,Aysén,1682,1080
14,Magallanes,4402,3573
15,Total general,628843,559580
