,Región,Matrícula Total Mujeres,Matrícula Total Hombres
0,XV Región,8782,7361
1,I Región,9227,8180
2,II Región,19259,19910
3,III Región,6158,5955
4,IV Región,23111,19994
5,V Región,68099,63880
6,Región Metropolitana,278256,272124
7,VI Región,15456,13373
8,VII Región,30040,23367
9,VIII Región,81610,72015
10,IX Región,32470,25006
11,XIV Región,11732,10494
12,X Región,24560,17587
13,XI Región,1546,925
14,XII Región,4377,3583
15,Total general,614683,563754
