,Sexo,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,% de variación 2008 - 2017,% de variación 2013 - 2017,% de variación 2016 - 2017
0,Mujeres,391284,430511,478365,521373,551474,574903,592624,603580,614703,618658,=(K280-B280)/B280,=(K280-G280)/G280,=(K280-J280)/J280
1,Hombres,392065,418829,459793,493759,513342,539374,551757,562326,563777,558069,=(K281-B281)/B281,=(K281-G281)/G281,=(K281-J281)/J281
2,Total general,783349,849340,938158,1015132,1064816,1114277,1144381,1165906,1178480,1176727,=(K282-B282)/B282,=(K282-G282)/G282,=(K282-J282)/J282
