,Rango de edad,Centros de Formación Técnica,Institutos Profesionales,Universidades
0,15 a 19 años,27340,50664,135439
1,20 a 24 años,61584,163036,367307
2,25 a 29 años,23214,74723,110456
3,30 a 34 años,10923,38521,32235
4,35 a 39 años,6310,22611,16123
5,40 y más años,7394,24021,16341
6,Sin información,8,93,80
7,Total general,=SUM(B18:B24),=SUM(C18:C24),=SUM(D18:D24)
8,Promedio de edad,24.6883266917706,25.7970238987515,23.2967763729512
