,Tipo de institución,Pregrado,Posgrado,Postítulo
0,Centros de Formación Técnica,136564,,11.0
1,Centros de Formación Técnica Estatales,209,,
2,Institutos Profesionales,373669,,1793.0
3,U. Cruch Estatal,185531,12347.0,3238.0
4,U. Cruch Privada,144287,11016.0,10011.0
5,U. Privadas,348163,23457.0,12475.0
6,Total general,1188423,46820.0,27528.0
