,Región,Matrícula Total Mujeres,Matrícula Total Hombres
0,Arica y Parinacota,9572,7704
1,Tarapacá,10329,8720
2,Antofagasta,20247,20000
3,Atacama,6944,6091
4,Coquimbo,24075,20078
5,Valparaíso,67219,62523
6,Metropolitana,290941,270949
7,Lib. Gral. B. O'Higgins,15437,13007
8,Maule,31644,24600
9,Ñuble,13195,9990
10,Biobío,66583,58842
11,Araucanía,32349,24829
12,Los Ríos,13619,11916
13,Los Lagos,24544,17765
14,Aysén,1765,1087
15,Magallanes,4196,3551
16,Total general,632659,561652
