,Área,Doctorado,Magíster
0,Administración y Comercio,75,10373
1,Agropecuaria,366,525
2,Arte y Arquitectura,102,1189
3,Ciencias Básicas,1821,1377
4,Ciencias Sociales,628,7451
5,Derecho,180,2668
6,Educación,239,10087
7,Humanidades,620,1025
8,Salud,529,3361
9,Tecnología,985,3983
10,Total general,5545,42039
