,Matrícula Posgrado y Postítulo,2010,2011,2012,2013,2014,% incremento 2010 - 2014
0,Posgrado,33385,34402,41201,46726,46806,=(F44-B44)/B44
1,Postítulo,14197,19661,21008,23439,24002,=(F45-B45)/B45
