,Área,Centros de Formación Técnica,Institutos Profesionales,Universidades
0,Administración y Comercio,36127,107971,91681
1,Agropecuaria,5594,5747,19941
2,Arte y Arquitectura,2042,26399,29428
3,Ciencias Básicas,757,423,16900
4,Ciencias Sociales,5076,31193,80604
5,Derecho,984,1767,41819
6,Educación,20720,37685,81923
7,Humanidades,149,1105,7941
8,Salud,26540,39409,157550
9,Tecnología,39951,127757,149128
10,Total general,137940,379456,676915
