,Área,Matrícula Total Mujeres,Matrícula Total Hombres
0,Administración y Comercio,128510,105558
1,Agropecuaria,15107,13926
2,Arte y Arquitectura,30680,24878
3,Ciencias Básicas,7897,9102
4,Ciencias Sociales,75397,35541
5,Derecho,23379,19442
6,Educación,106595,34556
7,Humanidades,5826,3730
8,Salud,170963,54731
9,Tecnología,63974,257881
10,Sin área definida,515,235
11,Total general,628843,559580
