,Región,Matrícula 1er año Mujeres,Matrícula 1er año Hombres
0,Arica y Parinacota,2510,2282
1,Tarapacá,2959,2758
2,Antofagasta,5539,5629
3,Atacama,2199,2005
4,Coquimbo,6741,6176
5,Valparaíso,17919,16486
6,Metropolitana,79409,75743
7,Lib. Gral. B. O'Higgins,5020,4202
8,Maule,8754,7066
9,Ñuble,3854,3054
10,Biobío,18008,16344
11,Araucanía,8262,6678
12,Los Ríos,3727,3093
13,Los Lagos,7292,5354
14,Aysén,648,431
15,Magallanes,1226,1209
16,Total general,=SUM(B136:B151),=SUM(C136:C151)
