,Tipo de institución,Matrícula Mujeres,Matrícula Hombres
0,Centros de Formación Técnica,73940,67780
1,Institutos Profesionales,193346,191321
2,Universidades Estatales CRUCH,94970,96877
3,Universidades Privadas CRUCH,72990,81027
4,Universidades Privadas,216325,158559
5,Total general,651571,595564
