,Área,Doctorado,Magíster
0,Administración y Comercio,55,9416
1,Agropecuaria,399,617
2,Arte y Arquitectura,73,1053
3,Ciencias Básicas,1708,1364
4,Ciencias Sociales,587,7440
5,Derecho,123,2542
6,Educación,253,9700
7,Humanidades,523,1057
8,Salud,528,3121
9,Tecnología,923,3893
10,Total general,5172,40203
