,Región,Matrícula Mujeres,Matrícula Hombres
0,XV Región,8814,7402
1,I Región,9490,8316
2,II Región,19998,20550
3,III Región,6162,5966
4,IV Región,23366,20235
5,V Región,70390,66403
6,Región Metropolitana,303528,294474
7,VI Región,15456,13373
8,VII Región,31163,24186
9,VIII Región,85614,75143
10,IX Región,34305,26015
11,XIV Región,12333,11046
12,X Región,24989,17900
13,XI Región,1546,925
14,XII Región,4417,3630
15,Total general,651571,595564
