,Tipo de institución,Pregrado,Posgrado,Postítulo
0,Centros de Formación Técnica,147982,,2
1,Institutos Profesionales,351184,,6391
2,Universidades Cruch ,301336,25194.0,7019
3,Universidades Privadas,344103,21612.0,10590
4,Total general,1144605,46806.0,24002
