,sexo,Doctorado,Magíster
0,Matrícula Total 2016 de Posgrado Mujer,2406,20904
1,Matrícula Total 2016 de Posgrado Hombre,3139,21135
2,Matrícula Total 2016 de Posgrado,5545,42039
