,Región,Matrícula Total Femenina,Matrícula Total Masculina
0,XV Región,8535,7379
1,I Región,9372,8356
2,II Región,20002,20566
3,III Región,5189,5332
4,IV Región,22473,19852
5,V Región,67244,64432
6,Región Metropolitana,272828,271128
7,VI Región,15238,13652
8,VII Región,28603,22490
9,VIII Región,82618,72791
10,IX Región,30443,24383
11,XIV Región,11375,9956
12,X Región,24011,17349
13,XI Región,1380,832
14,XII Región,4195,3650
15,Total general,603506,562148
