,Región,Matrícula Mujeres,Matrícula Hombres
0,Arica y Parinacota,9665,7604
1,Tarapacá,10291,8778
2,Antofagasta,20637,20577
3,Atacama,6760,5985
4,Coquimbo,24449,20257
5,Valparaíso,69958,65328
6,Metropolitana,314810,292922
7,Lib. Gral. B. O'Higgins,15745,13082
8,Maule,32111,25051
9,Biobío,84638,72622
10,La Araucanía,34799,26116
11,Los Ríos,13923,12162
12,Los Lagos,25390,18349
13,Aysén,1682,1080
14,Magallanes,4416,3584
15,Total general,669274,593497
