,Jornada,Centros de Formación Técnica,Institutos Profesionales,Universidades
0,Diurno,85298,187925,580789
1,Vespertino,49779,148829,83597
2,Semipresencial,190,4369,1557
3,A Distancia,1287,32317,1805
4,Otro,219,229,10233
5,Total general,136773,373669,677981
