,Área,Matrícula Mujeres,Matrícula Hombres
0,Administración y Comercio,135829,115022
1,Agropecuaria,17189,15225
2,Arte y Arquitectura,33417,25967
3,Ciencias Básicas,9968,11645
4,Ciencias Sociales,85876,41202
5,Derecho,26481,22303
6,Educación,117666,39028
7,Humanidades,6709,4774
8,Salud,177131,59486
9,Tecnología,62593,260999
10,Total general,672859,595651
