,Área,Matrícula Total Femenina,Matrícula Total Masculina
0,Administración y Comercio,114234,94313
1,Agropecuaria,13081,12906
2,Arte y Arquitectura,27614,24692
3,Ciencias Básicas,7627,8901
4,Ciencias Sociales,80463,34939
5,Derecho,21251,19075
6,Educación,84040,36933
7,Humanidades,5941,3771
8,Salud,169116,53940
9,Tecnología,79862,272401
10,Sin área definida,277,277
11,Total general,603506,562148
