,Región,Doctorado,Magíster
0,Arica y Parinacota,8,110
1,Tarapacá,,425
2,Antofagasta,147,655
3,Atacama,4,19
4,Coquimbo,73,467
5,Valparaíso,706,3032
6,Metropolitana,3580,26670
7,Lib. Gral. B. O'Higgins,,
8,Maule,201,1476
9,Biobío,736,4371
10,Araucanía,224,2160
11,Los Ríos,214,746
12,Los Lagos,32,739
13,Aysén,,
14,Magallanes,5,20
15,Total general,=SUM(B67:B81),=SUM(C67:C81)
