,Rango de edad,Doctorado,Magíster
0,15 a 19 años,,
1,20 a 24 años,137.0,3015.0
2,25 a 29 años,1643.0,11645.0
3,30 a 34 años,1436.0,10623.0
4,35 a 39 años,712.0,6382.0
5,40 y más años,952.0,9234.0
6,Sin información,45.0,982.0
7,Total general,4925.0,41881.0
8,Promedio de edad,33.78176229508197,34.07366928286755
