,Área,Doctorado,Magíster
0,Administración y Comercio,81,12369
1,Agropecuaria,359,490
2,Arte y Arquitectura,95,1068
3,Ciencias Básicas,2138,1430
4,Ciencias Sociales,580,6810
5,Derecho,168,2684
6,Educación,261,10035
7,Humanidades,625,1015
8,Salud,418,3119
9,Tecnología,815,4156
10,Total general,5540,43176
