,Jornada,Centros de Formación Técnica,Institutos Profesionales,Universidades
0,Diurno,81391,167512,546947
1,Vespertino,62066,144718,91233
2,Semipresencial,219,3206,871
3,A Distancia,180,7604,1879
4,Otro,509,1880,4425
5,Total general,144365,324920,645355
