,Sexo,Centros de Formación Técnica,Institutos Profesionales,Universidades
0,Matrícula de 1er año Mujeres,29634,61279,82665
1,Matrícula de 1er año Hombres,29789,61941,72475
2,Matrícula de 1er año de Pregrado,59423,123220,155140
