,Región,Centros de Formación Técnica,Institutos Profesionales,Universidades
0,Arica y Parinacota,5116,1434,9778
1,Tarapacá,2596,3158,11359
2,Antofagasta,4470,12153,22994
3,Atacama,1959,2539,8036
4,Coquimbo,8221,13503,21262
5,Valparaíso,11893,38835,79892
6,Metropolitana,46480,194883,308565
7,Lib. Gral. B. O'Higgins,4542,19705,4683
8,Maule,12515,13437,27365
9,Biobío,17084,42559,92151
10,Araucanía,8259,13571,35894
11,Los Ríos,3283,3258,16537
12,Los Lagos,6905,14340,20929
13,Aysén,1334,204,1082
14,Magallanes,2120,1131,4713
15,Total general,136777,374710,665240
