,Tipo de institución,Pregrado,Posgrado ,Postítulo
0,Centros de Formación Técnica,144365,,18
1,Institutos Profesionales,324920,,7568
2,Universidades,645355,46726.0,15853
3,Total general,1114640,46726.0,23439
