,Área,Doctorado,Magíster
0,Administración y Comercio,106,10852
1,Agropecuaria,364,510
2,Arte y Arquitectura,88,1031
3,Ciencias Básicas,1932,1323
4,Ciencias Sociales,694,6005
5,Derecho,170,2656
6,Educación,325,10153
7,Humanidades,620,975
8,Salud,533,3300
9,Tecnología,1098,4085
10,Total general,5930,40890
