,Matrícula Posgrado y Postítulo,2009,2010,2011,2012,2013,% incremento (2009-2013)
0,Posgrado,27475,33426,33466,41103,46726,=(F39-B39)/B39
1,Postítulo,13277,13895,19512,20920,23439,=(F40-B40)/B40
