,Tipo de institución,Pregrado,Posgrado,Postítulo
0,Centros de Formación Técnica,137940,,9
1,Institutos Profesionales,379456,,1956
2,Universidades,676915,48396.0,23838
3,Total general,1194311,48396.0,25803
