,Matrícula Pregrado,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,% incremento 2007 - 2016,% incremento 2012 - 2016
0,Matrícula 1er año,243382,252951,281647,315003,328327,332828,343000,341813,337967,337783,=(K65-B65)/B65,=(K65-G65)/G65
1,Matrícula Total ,748405,783336,849340,938140,1015101,1064795,1114277,1144561,1165906,1178437,=(K66-B66)/B66,=(K66-G66)/G66
