,Región,Centros de Formación Técnica,Institutos Profesionales,Universidades
0,XV Región,2151,436,2046
1,I Región,1374,1071,3107
2,II Región,2852,3939,5261
3,III Región,1652,850,2185
4,IV Región,3479,4633,4764
5,V Región,5232,14339,19115
6,Región Metropolitana,25570,62190,70735
7,VI Región,1849,6757,1176
8,VII Región,3904,5383,5853
9,VIII Región,7176,16750,19965
10,IX Región,3893,4552,7426
11,XIV Región,1590,922,3473
12,X Región,2806,4530,5408
13,XI Región,357,162,237
14,XII Región,839,338,1286
15,Total general,64724,126852,152037
