,Rango de edad,Centros de Formación Técnica,Institutos Profesionales,Universidades
0,15 a 19 años,26952,50014,132523
1,20 a 24 años,62121,165743,358575
2,25 a 29 años,23797,77341,110750
3,30 a 34 años,10874,37952,31661
4,35 a 39 años,6179,21727,15693
5,40 y más años,6854,21933,16035
6,Sin información,,,3
7,Total general,=SUM(B18:B24),=SUM(C18:C24),=SUM(D18:D24)
8,Promedio de edad,24.5815743875067,25.6293053294548,23.3097332228965
