,Área,Matrícula Mujeres,Matrícula Hombres
0,Administración y Comercio,126614,107623
1,Agropecuaria,13599,13417
2,Arte y Arquitectura,28897,25422
3,Ciencias Básicas,9602,11434
4,Ciencias Sociales,76016,37750
5,Derecho,23659,21239
6,Educación,111801,41376
7,Humanidades,7049,4671
8,Salud,177855,58812
9,Tecnología,76190,273524
10,Sin área definida,289,296
11,Total general,651571,595564
