,Rango de edad,Centros de Formación Técnica,Institutos Profesionales,Universidades
0,15 a 19 años,27569.0,50595.0,132596.0
1,20 a 24 años,64232.0,169758.0,351681.0
2,25 a 29 años,24932.0,79440.0,109390.0
3,30 a 34 años,11535.0,38863.0,31286.0
4,35 a 39 años,6221.0,20945.0,15044.0
5,40 y más años,7222.0,21386.0,15712.0
6,Sin información,,1.0,29.0
7,Total general,141711.0,380988.0,655738.0
8,Promedio de edad,24.6303886078004,25.5388950279143,23.2983457600856
