,Región,Doctorado,Magíster
0,XV Región,36.0,1084
1,I Región,,233
2,II Región,81.0,462
3,III Región,,31
4,IV Región,13.0,415
5,V Región,523.0,3206
6,Región Metropolitana,3026.0,29091
7,VI Región,,88
8,VII Región,143.0,1391
9,VIII Región,543.0,4110
10,IX Región,119.0,1174
11,XIV Región,168.0,481
12,X Región,1.0,288
13,XI Región,,2
14,XII Región,,17
15,Total general,4653.0,42073
