,Jornada,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,% de variación 2008 - 2017,% de variación 2013 - 2017,% de variación 2016 - 2017
0,Diurno,609869,647444,705887,748519,771720,795788,809291,821325,829437,835492,=(K102-B102)/B102,=(K102-G102)/G102,=(K102-J102)/J102
1,Vespertino,163998,187341,215561,243686,266771,297724,308960,314721,307380,294972,=(K103-B103)/B103,=(K103-G103)/G103,=(K103-J103)/J103
2,Semipresencial,1009,613,1652,1958,2827,4296,6628,6224,7102,7517,=(K104-B104)/B104,=(K104-G104)/G104,=(K104-J104)/J104
3,A Distancia,4286,4254,5021,6091,8291,9655,14709,20371,24659,28428,=(K105-B105)/B105,=(K105-G105)/G105,=(K105-J105)/J105
4,Otro,4187,9688,10037,14878,15207,6814,4793,3265,9902,10318,=(K106-B106)/B106,=(K106-G106)/G106,=(K106-J106)/J106
5,Total general,783349,849340,938158,1015132,1064816,1114277,1144381,1165906,1178480,1176727,=(K107-B107)/B107,=(K107-G107)/G107,=(K107-J107)/J107
