,Matrícula Posgrado y Postítulo,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,% incremento 2007 - 2016,% incremento 2012 - 2016
0,Posgrado,20693,26074,28357,33385,34402,41201,46726,46806,45377,47584,=(K70-B70)/B70,=(K70-G70)/G70
1,Postítulo,7802,10387,14022,14093,19598,20924,23368,23943,21760,21114,=(K71-B71)/B71,=(K71-G71)/G71
