,Matrícula Pregrado,2010,2011,2012,2013,2014,% incremento 2010 - 2014
0, Matrícula 1er año,315305,328630,332958,343272,344466,=(F39-B39)/B39
1,Matrícula Total ,938338,1015389,1064920,1114299,1144605,=(F40-B40)/B40
