,Sexo,Centros de Formación Técnica,Institutos Profesionales,Universidades
0,Matrícula Total 2016 Mujeres,73936,190303,350444
1,Matrícula Total 2016 Hombres,67775,190685,305294
2,Matrícula Total 2016 de Pregrado,141711,380988,655738
