,Sexo,Doctorado,Magíster
0,Matrícula de 1er año de Posgrado Mujer,453,6698
1,Matrícula de 1er año de Posgrado Hombre,603,6249
2,Matrícula de 1er año de Posgrado,=SUM(B26:B27),=SUM(C26:C27)
