,Área,Matrícula Total Femenina,Matrícula Total Masculina
0,Administración y Comercio,107796,89833
1,Agropecuaria,12710,12791
2,Arte y Arquitectura,27400,25135
3,Ciencias Básicas,7563,8943
4,Ciencias Sociales,78358,33937
5,Derecho,21106,19503
6,Educación,86642,38750
7,Humanidades,6154,3859
8,Salud,165212,53965
9,Tecnología,79583,264812
10,Sin área definida,257,296
11,Total general,592781,551824
