,Región,Matrícula Total Femenina,Matrícula Total Masculina
0,XV Región,8409,7497
1,I Región,8908,8190
2,II Región,20428,20320
3,III Región,5918,6055
4,IV Región,22431,19227
5,V Región,66153,63429
6,Región Metropolitana,267138,265332
7,VI Región,14995,13219
8,VII Región,27741,21839
9,VIII Región,81388,71783
10,IX Región,29670,23970
11,XIV Región,11547,9958
12,X Región,22842,16659
13,XI Región,1168,819
14,XII Región,4045,3527
15,Total general,592781,551824
