,Región,Centros de Formación Técnica,Institutos Profesionales,Universidades
0,Arica y Parinacota,2391,360,2497
1,Tarapacá,1297,1170,3184
2,Antofagasta,2252,3591,5804
3,Atacama,932,983,2204
4,Coquimbo,3949,4565,4677
5,Valparaíso,5732,11709,17841
6,Metropolitana,17904,66416,71648
7,Lib. Gral. B. O'Higgins,1959,5693,1834
8,Maule,6161,3640,6282
9,Biobío,7425,13242,21256
10,Araucanía,3117,4291,8648
11,Los Ríos,1649,1419,3618
12,Los Lagos,3049,4569,5438
13,Aysén,630,91,364
14,Magallanes,855,306,1294
15,Total general,59302,122045,156589
