,Área,Matrícula Total Mujeres,Matrícula Total Hombres
0,Administración y Comercio,122196,99726
1,Agropecuaria,13128,12912
2,Arte y Arquitectura,28118,24641
3,Ciencias Básicas,8247,9511
4,Ciencias Sociales,69844,33600
5,Derecho,22058,19364
6,Educación,99554,36567
7,Humanidades,6006,3664
8,Salud,170869,54206
9,Tecnología,74374,269267
10,Sin área definida,289,296
11,Total general,614683,563754
