,Área,Matrícula Femenina,Matrícula Masculina
0,Administración y Comercio,118506,101569
1,Agropecuaria,13622,13489
2,Arte y Arquitectura,28311,25377
3,Ciencias Básicas,8930,10741
4,Ciencias Sociales,87536,38925
5,Derecho,22797,20904
6,Educación,96856,41895
7,Humanidades,6966,4766
8,Salud,174905,57968
9,Tecnología,81565,276609
10,Sin área definida,277,277
11,Total general,640271,592520
