,Región,Matrícula 1er año 2013 Femenina,Matrícula 1er año 2013 Masculina
0,XV Región,2389,2244
1,I Región,2893,2659
2,II Región,5796,6256
3,III Región,2350,2337
4,IV Región,6758,6118
5,V Región,19179,19507
6,Región Metropolitana,77739,80756
7,VI Región,5040,4742
8,VII Región,8392,6748
9,VIII Región,22911,20980
10,IX Región,8717,7154
11,XIV Región,3221,2764
12,X Región,7105,5639
13,XI Región,447,309
14,XII Región,1329,1134
15,Total general,174266,169347
