,Jornada,Centros de Formación Técnica,Institutos Profesionales,Universidades
0,Diurno,82508,187914,559013
1,Vespertino,56903,166775,83661
2,Semipresencial,294,4796,2012
3,A Distancia,1890,21100,1669
4,Otro,116,403,9383
5,Total general,141711,380988,655738
