,Área,Centros de Formación Técnica,Institutos Profesionales,Universidades
0,Administración y Comercio,36073.0,104589.0,93406
1,Agropecuaria,5146.0,5134.0,18753
2,Arte y Arquitectura,1879.0,24733.0,28946
3,Ciencias Básicas,863.0,445.0,15691
4,Ciencias Sociales,4245.0,29594.0,77099
5,Derecho,1079.0,1564.0,40178
6,Educación,19368.0,35954.0,85829
7,Humanidades,139.0,1309.0,8108
8,Salud,27312.0,41454.0,156928
9,Tecnología,40669.0,128893.0,152293
10,Sin área definida,,,750
11,Total general,136773.0,373669.0,677981
