,Región,Doctorado,Magíster
0,XV Región,2.0,71.0
1,I Región,,313.0
2,II Región,117.0,581.0
3,III Región,,15.0
4,IV Región,26.0,283.0
5,V Región,683.0,3071.0
6,Región Metropolitana,3551.0,28831.0
7,VI Región,,
8,VII Región,143.0,1341.0
9,VIII Región,653.0,4253.0
10,IX Región,160.0,2005.0
11,XIV Región,181.0,764.0
12,X Región,29.0,430.0
13,XI Región,,
14,XII Región,,81.0
15,Total general,5172.0,40203.0
