,Región,Centros de Formación Técnica,Institutos Profesionales,Universidades
0,Arica y Parinacota,5472,1488,10191
1,Tarapacá,2833,3366,12419
2,Antofagasta,4737,11772,23728
3,Atacama,2064,2565,8092
4,Coquimbo,8893,13592,21533
5,Valparaíso,12291,37322,80747
6,Metropolitana,43046,199537,312978
7,Lib. Gral. B. O'Higgins,4546,18867,5414
8,Maule,13667,12600,28695
9,Biobío,17434,40405,92362
10,Araucanía,7638,13360,36555
11,Los Ríos,3703,3919,17312
12,Los Lagos,7007,13482,22054
13,Aysén,1374,261,1127
14,Magallanes,2068,1133,4774
15,Total general,136773,373669,677981
